topic_id,topic_label,clean_topic_label,topic_size,share_2023_pp,share_2024_pp,share_2025_pp,delta_23_24_pp,delta_24_25_pp,delta_net_pp,delta_share_pp,avg_rating,avg_rating_z_year,prestige_concentration,trajectory_type
6,brain / spiking neural networks,brain / spiking neural networks,402,3.6047234307023,2.8004956629491944,3.272796065077564,-0.8042277677531056,0.47230040212836943,-0.3319273656247361,-0.3319273656247361,5.389344941956883,0.178063024313907,0.1741293532338308,rebound
39,clustering / approximation algorithms,clustering / approximation algorithms,87,0.9322560596643878,0.6691449814126395,0.5675368898978433,-0.2631110782517484,-0.1016080915147961,-0.3647191697665445,-0.3647191697665445,5.561111111111111,0.2118761684990896,0.1034482758620689,consistent decline
43,OOD detection,OOD detection,76,0.870105655686762,0.644361833952912,0.4161937192584184,-0.22574382173385,-0.2281681146944936,-0.4539119364283436,-0.4539119364283435,5.3673245614035086,-0.0476910773614814,0.0657894736842105,consistent decline
31,noisy labels / label noise,noisy labels / label noise,147,1.4605344934742075,1.1895910780669146,0.983730609156262,-0.27094341540729294,-0.20586046891065257,-0.4768038843179455,-0.4768038843179456,5.347392290249433,0.0290777066085202,0.1020408163265306,consistent decline
34,optimization / convergence / gradients,distributed / federated optimization,96,1.0254816656308263,0.966542750929368,0.4540295119182747,-0.05893891470145829,-0.5125132390110934,-0.5714521537125516,-0.5714521537125519,5.53048115079365,0.0510742311287477,0.1145833333333333,consistent decline
41,equivariance / symmetry groups,equivariance / symmetry groups,97,1.3051584835301429,0.7187112763320942,0.4918653045781309,-0.5864472071980487,-0.22684597175396332,-0.8132931789520119,-0.8132931789520119,5.614089347079037,0.1511715641706137,0.1546391752577319,consistent decline
9,causal inference / treatment effects,causal inference / treatment effects,280,2.7656929770043504,2.2304832713754648,1.9107075293227396,-0.5352097056288856,-0.3197757420527252,-0.8549854476816108,-0.854985447681611,5.386369047619048,0.0734432506970663,0.1285714285714285,consistent decline
25,game theory / equilibria,game theory / equilibria,124,1.5848353014294594,0.8921933085501859,0.6999621642073401,-0.6926419928792735,-0.19223114434284572,-0.8848731372221192,-0.8848731372221192,5.645564516129033,0.2235774485941212,0.1612903225806451,consistent decline
24,statistical learning theory,statistical learning theory,222,2.2995649471721564,2.032218091697646,1.2485811577752557,-0.26734685547451065,-0.7836369339223901,-1.0509837893969007,-1.050983789396901,5.671546546546547,0.2466115340531856,0.1756756756756756,consistent decline
18,optimization / convergence / gradients,convex optimization,236,2.54816656308266,1.9083023543990087,1.456678017404465,-0.6398642086836515,-0.45162433699454385,-1.0914885456781953,-1.0914885456781955,5.470238095238096,0.0963485797422534,0.135593220338983,consistent decline
16,deep learning theory / gradients,deep learning theory,298,3.014294592914854,2.503097893432466,1.8917896329928112,-0.511196699482388,-0.6113082604396549,-1.122504959922043,-1.122504959922043,5.511185682326622,0.1513559971986982,0.1577181208053691,consistent decline
10,differential privacy,differential privacy,219,2.672467371037912,1.5861214374225527,1.3053348467650396,-1.0863459336153594,-0.2807865906575131,-1.3671325242728725,-1.367132524272872,5.560502283105023,0.1660040263550223,0.1689497716894977,consistent decline
27,Bayesian inference,Bayesian inference,249,3.1385954008701056,1.5861214374225527,1.5891032917139614,-1.5524739634475528,0.0029818542914086255,-1.5494921091561442,-1.5494921091561442,5.557439280933258,0.1935584926979624,0.1285140562248996,early decline / plateau
12,adversarial robustness,adversarial robustness,258,3.045369794903667,2.106567534076828,1.4188422247446084,-0.9388022608268387,-0.6877253093322198,-1.6265275701590585,-1.6265275701590585,5.3666943521594686,-0.0491075516893828,0.1085271317829457,consistent decline
29,matrix algorithms,matrix algorithms,201,2.641392169049099,1.5861214374225527,0.983730609156262,-1.0552707316265462,-0.6023908282662908,-1.657661559892837,-1.657661559892837,5.69565268893627,0.213518695546654,0.2039800995024875,consistent decline
5,bandits / regret minimization,bandits / regret minimization,482,4.878806712243629,3.866171003717472,3.197124479757851,-1.0126357085261573,-0.6690465239596213,-1.6816822324857785,-1.6816822324857783,5.467511361391029,0.1333277464718292,0.1161825726141078,consistent decline
4,graph neural networks,graph neural networks,507,5.251709136109385,3.940520446096654,3.386303443057132,-1.311188690012731,-0.5542170030395219,-1.865405693052253,-1.865405693052253,5.383291067906452,0.0559728050961014,0.1005917159763313,consistent decline
0,RL / policy learning,RL / policy learning,1029,9.819763828464884,8.029739776951672,7.359061672342036,-1.7900240515132122,-0.6706781046096362,-2.4607021561228484,-2.4607021561228484,5.341825165440326,0.054584771216165,0.1166180758017492,consistent decline
