paper_id,topic_id,topic_prob
f0Jj3C3Pnp,-1,0.0
81snFfE3vR,7,1.0
ekMLUoC2sq,2,1.0
cemEOP8YoC,8,1.0
shXnfALjuH,-1,0.0
zEoP4vzFKy,-1,0.0
6qLzQeFGio,0,1.0
cNObl6QQEH,-1,0.0
Xp68yXQiRk,-1,0.0
1YEF6TA8Di,0,1.0
SQouRKRIXY,0,0.9874179172126568
hElNdYMs8Z,0,1.0
497CevPdOg,0,1.0
j2EaW49Rk7,0,0.8559386347171271
UvBwXdL95b,-1,0.0
KXbAgvLi2l,0,0.3873535194002143
nI7EmXq2PL,0,1.0
8lbFwpebeu,0,1.0
OlSTwlz96r,-1,0.0
5t5u8PQa2T,-1,0.0
Pe9WxkN8Ff,5,0.7984920177310423
5yedZXV7wt,-1,0.0
2DtxPCL3T5,0,0.5959426181043643
jR2FkqW6GB,0,1.0
DD0QJvPbTD,-1,0.0
WRtlsxA5h7,1,0.2418016349101419
9XieH21Tlf,21,1.0
E8vGACczsQ,0,0.9427661380588568
MJbDy2155j,0,0.7549982385320761
hOOOvOMok5,-1,0.0
NyQwBttTnG,-1,0.0
DEC7NxDJLh,2,1.0
psXVkKO9No,0,0.8926650615726012
iWGC0Nsq9i,0,1.0
ytrhsvGP0r,-1,0.0
eozEoAtjG8,-1,0.0
ezqI5WgGvY,0,1.0
lSbbC2VyCu,0,0.6328671671919639
fmJv8Hj0yo,0,0.5047476062673737
sgCrNMOuXp,0,0.7595928314227341
zO2dAQfvHf,0,0.2854699963796281
K3JgUvDSYX,4,0.601576420173407
ylPX5D7It7,0,0.9061446494839354
BkQM8huiIc,-1,0.0
7b4oobeB4w,-1,0.0
mSDfBXr8Py,-1,0.0
D1sECc9fiG,0,0.6456761791242469
XEBzQP3e7B,24,0.4097352096725438
MCVfX7HgPO,0,0.8954556263391242
6cc69ArD3O,-1,0.0
3G2ec833mW,-1,0.0
iQhtJD1l7C,-1,0.0
9SwKSvaCiP,0,0.5431089334255251
eU6P4aUdCA,11,0.5764117577822265
sLhXMkI0kx,-1,0.0
cxazQGSsQa,17,0.8566737618253593
ETk6cfS3vk,-1,0.0
ghIBaprxsV,0,1.0
F5DYsAc7Rt,-1,0.0
blC2kbzvNC,7,0.5188684467186335
wYKU1C77sa,0,0.4777284493540559
N1feehMSG9,0,0.9418633106616564
EEtJTfvNZx,0,0.562356158654953
CJY7NEXVwC,6,1.0
Ncb0MvVqRV,-1,0.0
DGmxTUCHYs,1,1.0
XF923QPCGw,0,0.2897729188703034
w79RtqIyoM,-1,0.0
ykvvv0gc4R,-1,0.0
dsH244r9fA,-1,0.0
zIEaOZ0saA,0,0.7555961145947689
jvYXln6Gzn,-1,0.0
wiidCRA3at,0,0.5970663746579258
LWxjWoBTsr,0,0.8868462288787349
8GSCaoFot9,0,1.0
J0Pvvxspmz,0,0.8436399875201035
H15KtcyHvn,0,0.7466998212881218
Q3CRHnttxW,0,0.759794885681443
w0H2xGHlkw,0,1.0
jze2r6RDFz,0,0.6670808248863803
iFxWrxDekd,0,0.6768436730475424
XKP3mAsNHd,0,0.2673813147671151
6EaLIw3W7c,10,0.6697894972469662
UAow2kPsYP,0,0.9037412126904312
RiyH3z7oIF,0,1.0
pIXTMrBe7f,0,0.9779295984581218
QW5ouyyIgG,0,0.8471796885421696
54hYifmQZU,-1,0.0
LhVJdq4cZm,0,1.0
4IWJZjbRFj,16,0.1853540000850911
RgNXKIrWyU,-1,0.0
VvnfMeC3gQ,0,0.5739352334946656
a4kspTMV9M,22,1.0
K1Uzj8tuwd,0,0.6209085492773085
AKAMNDe2Sw,6,1.0
2ep5PXEZiw,-1,0.0
dQLsvKNwZC,-1,0.0
bOQNd7tWAp,-1,0.0
2ccH4zjKVs,11,0.8682508136537408
GYjV1M5s0D,-1,0.0
rGN3X9jnEg,2,1.0
RrdBNXBUIF,1,1.0
1wOkHN9JK8,2,1.0
dLmDPVv19z,0,1.0
ixVAXsdtJO,0,0.946837647567644
6cJKcIxPck,-1,0.0
Ah2Q8mLH96,-1,0.0
On0IDMYKw2,-1,0.0
QVpfk2C3Dm,0,1.0
qqcIM8NiiB,0,1.0
IrEYkhuxup,-1,0.0
OXhymu6MeN,0,0.4256795699580036
MdJX5wwKwx,1,1.0
cx9a4Xvb3l,-1,0.0
StD4J5ZlI5,0,0.5779364917460073
m9uHv1Pxq7,-1,0.0
ZPtzwr2SwJ,0,0.4271469294214655
fWLf8DV0fI,10,1.0
5hVXbiEGXB,-1,0.0
P9I2VQv1uC,3,0.503634188786598
4L9g1jUDtO,4,0.5980562956225125
pXtVyj4R33,-1,0.0
YkBDJWerKg,-1,0.0
rLpLjCBW4J,7,0.4320275227243662
tDAu3FPJn9,-1,0.0
dFSeZm6dTC,-1,0.0
ne6zeqLFCZ,-1,0.0
FLTg8uA5xI,-1,0.0
kMmAYbT0VL,0,0.6711078589422307
BqTv1Mtuhu,5,0.7762987437246543
t6nA7x3GAC,0,1.0
XT9mL5vxX2,-1,0.0
UDqHhbqYJV,1,1.0
z9NLqoFvZ0,-1,0.0
yhNHpLWJDl,0,1.0
QlfGOVD5PO,0,0.932839308681723
sla7V80uWA,0,0.9951948311422548
YsZTDcIQwQ,0,0.6175354004630476
RMeQjexaRj,-1,0.0
tesBViWnbx,0,0.7571159466338512
O63qgtebjH,-1,0.0
yT0f93CeTw,0,1.0
jDIlzSU8wJ,-1,0.0
rheCTpRrxI,0,1.0
7RMGI4slcb,0,1.0
87Qnneer8l,24,0.4671161716641926
